Time (s) ,PPM,Analog,,,
0,2180,295,,,Von 2180ppm runtergelüftet auf 440ppm adbei im 1Hz Takt die Werte an Passco und Airduino ausgelesen.
1,2180,289,,,
2,2182,287,,,
3,2182,289,,,
4,2184,277,,,
5,2184,285,,,
6,2184,289,,,
7,2184,286,,,
8,2186,286,,,
9,2186,285,,,
10,2186,282,,,
11,2186,287,,,
12,2186,289,,,
13,2186,284,,,
14,2186,287,,,
15,2186,290,,,
16,2186,285,,,
17,2184,287,,,
18,2184,285,,,
19,2182,284,,,
20,2180,286,,,
21,2176,289,,,
22,2172,289,,,
23,2168,290,,,
24,2162,293,,,
25,2158,283,,,
26,2152,291,,,
27,2142,288,,,
28,2130,283,,,
29,2118,283,,,
30,2104,281,,,
31,2092,287,,,
32,2078,286,,,
33,2066,283,,,
34,2052,281,,,
35,2038,284,,,
36,2026,280,,,
37,2010,272,,,
38,1998,278,,,
39,1986,278,,,
40,1974,278,,,
41,1964,277,,,
42,1954,282,,,
43,1944,285,,,
44,1934,285,,,
45,1924,285,,,
46,1916,282,,,
47,1906,279,,,
48,1898,277,,,
49,1890,275,,,
50,1884,293,,,
51,1876,294,,,
52,1870,281,,,
53,1862,284,,,
54,1854,285,,,
55,1848,285,,,
56,1842,284,,,
57,1836,283,,,
58,1830,286,,,
59,1824,296,,,
60,1818,284,,,
61,1810,289,,,
62,1802,287,,,
63,1794,287,,,
64,1786,284,,,
65,1778,284,,,
66,1770,292,,,
67,1760,286,,,
68,1752,287,,,
69,1742,281,,,
70,1730,285,,,
71,1720,275,,,
72,1710,284,,,
73,1698,288,,,
74,1688,298,,,
75,1678,296,,,
76,1666,287,,,
77,1656,288,,,
78,1644,287,,,
79,1632,287,,,
80,1620,285,,,
81,1608,285,,,
82,1596,284,,,
83,1584,283,,,
84,1574,293,,,
85,1562,281,,,
86,1550,279,,,
87,1538,285,,,
88,1526,296,,,
89,1514,296,,,
90,1504,296,,,
91,1492,296,,,
92,1480,297,,,
93,1470,295,,,
94,1458,284,,,
95,1448,276,,,
96,1436,290,,,
97,1424,296,,,
98,1414,296,,,
99,1402,296,,,
100,1390,296,,,
101,1378,296,,,
102,1366,292,,,
103,1356,294,,,
104,1344,295,,,
105,1334,295,,,
106,1322,295,,,
107,1312,295,,,
108,1300,296,,,
109,1290,296,,,
110,1280,296,,,
111,1268,297,,,
112,1258,296,,,
113,1248,297,,,
114,1238,299,,,
115,1228,299,,,
116,1220,299,,,
117,1212,295,,,
118,1204,280,,,
119,1198,282,,,
120,1192,279,,,
121,1186,295,,,
122,1180,293,,,
123,1174,293,,,
124,1168,292,,,
125,1162,292,,,
126,1154,292,,,
127,1148,292,,,
128,1142,294,,,
129,1134,293,,,
130,1128,292,,,
131,1120,293,,,
132,1114,291,,,
133,1106,292,,,
134,1100,293,,,
135,1092,292,,,
136,1086,292,,,
137,1078,292,,,
138,1072,289,,,
139,1066,288,,,
140,1060,288,,,
141,1054,288,,,
142,1048,289,,,
143,1042,289,,,
144,1036,288,,,
145,1030,279,,,
146,1024,278,,,
147,1018,296,,,
148,1012,291,,,
149,1006,273,,,
150,1000,267,,,
151,994,280,,,
152,990,272,,,
153,986,268,,,
154,982,265,,,
155,978,268,,,
156,974,277,,,
157,968,274,,,
158,964,274,,,
159,960,287,,,
160,956,285,,,
161,950,286,,,
162,946,285,,,
163,944,285,,,
164,940,285,,,
165,938,276,,,
166,936,273,,,
167,934,285,,,
168,932,285,,,
169,930,287,,,
170,928,284,,,
171,926,283,,,
172,922,281,,,
173,920,283,,,
174,918,283,,,
175,916,284,,,
176,914,286,,,
177,912,288,,,
178,910,288,,,
179,908,288,,,
180,904,288,,,
181,902,288,,,
182,900,287,,,
183,898,287,,,
184,896,287,,,
185,894,287,,,
186,892,287,,,
187,888,288,,,
188,886,288,,,
189,884,288,,,
190,880,289,,,
191,878,288,,,
192,876,287,,,
193,872,287,,,
194,870,288,,,
195,866,287,,,
196,864,288,,,
197,860,288,,,
198,856,287,,,
199,854,287,,,
200,850,286,,,
201,848,287,,,
202,844,287,,,
203,842,288,,,
204,840,287,,,
205,836,287,,,
206,834,289,,,
207,832,288,,,
208,830,288,,,
209,828,283,,,
210,826,279,,,
211,824,280,,,
212,822,280,,,
213,820,280,,,
214,818,279,,,
215,818,279,,,
216,816,279,,,
217,814,279,,,
218,812,280,,,
219,810,281,,,
220,808,282,,,
221,808,282,,,
222,806,282,,,
223,804,282,,,
224,802,281,,,
225,800,270,,,
226,800,266,,,
227,798,280,,,
228,796,282,,,
229,796,282,,,
230,794,282,,,
231,794,281,,,
232,792,281,,,
233,790,282,,,
234,790,282,,,
235,788,282,,,
236,786,283,,,
237,786,283,,,
238,784,284,,,
239,782,284,,,
240,780,284,,,
241,778,284,,,
242,776,283,,,
243,776,283,,,
244,774,283,,,
245,772,283,,,
246,770,283,,,
247,770,283,,,
248,768,283,,,
249,766,283,,,
250,764,283,,,
251,762,283,,,
252,760,283,,,
253,758,283,,,
254,756,284,,,
255,754,283,,,
256,752,272,,,
257,750,281,,,
258,748,282,,,
259,746,275,,,
260,744,274,,,
