Time (s) Run #1,,analog
0,450,203
1,450,212
2,450,225
3,450,223
4,450,231
5,452,236
6,452,241
7,452,246
8,452,250
9,452,254
10,452,258
11,452,263
12,454,266
13,454,270
14,454,273
15,456,275
16,456,277
17,458,278
18,458,280
19,458,282
20,460,283
21,460,282
22,460,282
23,462,284
24,462,284
25,462,285
26,462,284
27,464,285
28,464,285
29,464,284
30,466,284
31,466,285
32,466,284
33,466,283
34,468,283
35,468,282
36,468,283
37,470,282
38,470,281
39,470,283
40,470,285
41,470,288
42,472,296
43,472,289
44,472,286
45,472,284
46,472,284
47,474,280
48,474,280
49,474,281
50,474,281
51,474,281
52,474,282
53,474,284
54,476,279
55,476,279
56,476,279
57,476,278
58,476,277
59,476,278
60,476,267
61,476,263
62,476,277
63,476,276
64,476,276
65,476,279
66,476,280
67,478,280
68,478,278
69,478,277
70,478,276
71,478,276
72,478,275
73,478,275
74,480,274
75,480,274
76,480,273
77,480,274
78,480,274
79,480,274
80,480,274
81,480,273
82,480,273
83,482,274
84,482,273
85,482,274
86,482,274
87,482,274
88,482,274
89,482,274
90,482,274
91,484,274
92,484,274
93,484,274
94,484,274
95,484,274
96,484,274
97,486,273
98,486,272
99,486,273
100,486,272
101,486,273
102,486,273
103,486,274
104,486,274
105,486,271
106,486,271
107,486,271
108,488,271
109,488,271
110,488,273
111,488,273
112,490,272
113,490,270
114,490,270
115,490,271
116,492,273
117,492,271
118,492,270
119,492,269
120,492,261
121,492,268
122,492,250
123,492,269
124,494,268
125,494,270
126,494,271
127,494,272
128,494,272
129,494,271
130,494,271
131,496,271
132,496,262
133,496,275
134,496,275
135,496,276
136,496,277
137,496,276
138,498,276
139,498,275
140,498,275
141,498,275
142,500,275
143,500,273
144,500,273
145,500,255
146,500,271
147,500,270
148,500,271
149,500,255
150,500,255
151,502,269
152,502,269
153,502,268
154,502,269
155,504,270
156,504,258
157,504,259
158,504,261
159,504,275
160,504,275
161,506,275
162,506,276
163,506,276
164,506,277
165,506,278
166,506,279
167,506,280
168,506,278
169,506,279
170,506,280
171,506,281
172,508,284
173,508,279
174,508,271
175,508,274
176,508,277
177,510,276
178,510,269
179,510,260
180,510,284
181,512,281
182,512,281
183,512,282
184,512,283
185,512,274
186,512,269
187,514,272
188,514,272
189,514,272
190,516,272
191,516,273
192,516,269
193,516,269
194,518,269
195,518,269
196,520,269
197,520,256
198,520,269
199,520,271
200,522,271
